HHNUM,PERCENT_FEMALE,PR_SEX,AVG_AGE_R,PR_AGE_R,HISPANIC,MODE_RACECAT_R,ALT_PNUM,PROP_WHITE,PROP_BLACK,PROP_OTHER,PROP_NARACE,EDUCCAT,PR_EDUCCAT,NCIMMIGRANT_ANY,NCIMMIGRANT_EVERY,NCHILDREN,NADULTS,DISABLED
111189,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,1,1,1,1,0,1,0
111196,0.5,1,26.125,27.5,0.0,1,4,0.75,0.0,0.25,0.0,1,2,0,0,2,2,0
111202,0.5,1,47.5,47.5,1.0,1,2,1.0,0.0,0.0,0.0,2,3,0,0,0,2,0
111203,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111207,0.0,0,27.5,27.5,1.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
111210,1.0,1,13.333333333333334,27.5,0.6666666666666666,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,1,1,0,0,2,1,0
111212,0.8,0,12.2,27.5,0.4,1,5,1.0,0.0,0.0,0.0,1,1,0,0,3,2,0
111213,1.0,1,16.25,27.5,0.0,1,2,0.5,0.0,0.5,0.0,1,1,0,0,1,1,0
111214,0.5,0,66.25,47.5,0.0,3,2,0.0,0.0,1.0,0.0,1,1,0,0,0,2,0
111215,0.6666666666666666,1,15.333333333333334,27.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,2,1,0
111228,1.0,1,62.5,62.5,1.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111229,0.4,1,17.6,47.5,0.0,3,5,0.2,0.0,0.8,0.0,1,1,0,0,4,1,0
111230,0.5,1,13.75,27.5,0.0,2,2,0.0,1.0,0.0,0.0,1,1,0,0,1,1,0
111234,0.5,1,62.5,62.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111236,0.6666666666666666,1,11.666666666666666,27.5,0.3333333333333333,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,1,1,0,0,2,1,0
111238,0.5,1,17.125,27.5,0.0,2,4,0.0,1.0,0.0,0.0,2,2,0,0,2,2,0
111239,0.5,1,23.25,19,0.5,1,2,0.5,0.5,0.0,0.0,1,1,1,0,0,2,0
111240,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111245,0.0,0,62.5,62.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
111253,0.5,1,62.5,62.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
111254,0.5,0,43.75,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111262,0.6666666666666666,1,10.5,27.5,0.0,1,3,1.0,0.0,0.0,0.0,3,3,0,0,2,1,0
111266,0.0,0,27.5,27.5,0.0,3,2,0.0,0.0,1.0,0.0,1,1,1,1,0,2,0
111267,0.75,1,17.75,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
111272,0.5,0,27.5,27.5,1.0,1,2,1.0,0.0,0.0,0.0,2,3,1,1,0,2,0
111277,0.0,0,30.125,47.5,1.0,3,4,0.0,0.0,1.0,0.0,2,3,1,1,0,4,0
111278,1.0,1,14.75,27.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,1,1,0
111279,1.0,1,62.5,62.5,1.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111282,0.5,1,47.5,47.5,0.5,3,2,0.5,0.0,0.5,0.0,2,2,0,0,0,2,0
111285,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111297,0.5,0,62.5,62.5,0.0,2,2,0.0,1.0,0.0,0.0,2,3,0,0,0,2,0
111298,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111302,0.5,1,22.583333333333332,47.5,0.0,2,6,0.0,1.0,0.0,0.0,1,1,0,0,3,3,0
111305,0.0,0,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,2,2,1,1,0,1,0
111317,0.6666666666666666,0,47.666666666666664,68,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
111322,0.0,0,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111323,1.0,1,47.5,47.5,0.3333333333333333,2,3,0.0,1.0,0.0,0.0,2,2,0,0,0,3,1
111328,0.5,1,55.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111329,0.3333333333333333,0,72.5,85,1.0,1,3,1.0,0.0,0.0,0.0,3,3,1,0,0,3,0
111334,0.5,0,14.25,27.5,0.0,1,4,1.0,0.0,0.0,0.0,2,2,0,0,3,1,0
111335,0.5,1,18.5,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
111339,0.6666666666666666,1,14.0,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,0
111341,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111343,1.0,1,47.5,47.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,1
111353,0.4,1,24.9,47.5,1.0,1,5,1.0,0.0,0.0,0.0,1,1,1,0,3,2,0
111358,1.0,1,68.0,68,1.0,3,1,0.0,0.0,1.0,0.0,3,3,1,1,0,1,0
111364,0.0,0,85.0,85,0.0,2,1,0.0,1.0,0.0,0.0,3,3,0,0,0,1,0
111367,0.5714285714285714,1,22.857142857142858,27.5,0.42857142857142855,1,7,1.0,0.0,0.0,0.0,1,1,0,0,4,3,0
111371,0.3333333333333333,1,23.5,47.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,2,1,0
111385,0.5,1,37.5,47.5,0.0,2,2,0.0,1.0,0.0,0.0,1,1,1,1,0,2,0
111391,1.0,1,14.25,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
111394,0.3333333333333333,1,23.166666666666668,47.5,0.0,2,3,0.0,1.0,0.0,0.0,1,1,0,0,1,2,0
111395,0.6,1,31.1,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,2,3,0
111396,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
111408,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
111412,0.3333333333333333,1,14.666666666666666,27.5,0.0,2,3,0.0,1.0,0.0,0.0,1,1,0,0,2,1,0
111420,0.5,1,19.625,47.5,0.0,1,4,1.0,0.0,0.0,0.0,2,2,0,0,3,1,0
111423,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
111429,0.5,1,22.875,47.5,1.0,3,4,0.0,0.0,1.0,0.0,1,1,0,0,2,2,0
111442,0.5,1,32.0,47.5,0.0,1,4,0.75,0.0,0.25,0.0,1,1,0,0,2,2,0
111444,0.6666666666666666,1,50.833333333333336,27.5,1.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
111450,0.6666666666666666,1,26.666666666666668,47.5,0.0,2,3,0.0,1.0,0.0,0.0,2,2,0,0,1,2,0
111455,0.3333333333333333,1,40.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
111457,0.75,1,16.375,27.5,0.75,1,4,1.0,0.0,0.0,0.0,2,2,0,0,2,2,0
111461,0.6666666666666666,1,28.166666666666668,19,0.0,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,1,1,0,0,0,3,0
111462,1.0,1,27.5,27.5,1.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
111465,0.5,0,57.75,68,0.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
111466,0.75,1,16.75,47.5,0.0,1,4,1.0,0.0,0.0,0.0,3,3,0,0,3,1,0
111469,0.3333333333333333,1,32.666666666666664,47.5,0.0,2,3,0.0,1.0,0.0,0.0,1,1,0,0,1,2,0
111470,0.5,1,47.75,68,0.0,2,2,0.0,1.0,0.0,0.0,2,3,0,0,0,2,0
111477,0.5555555555555556,1,29.88888888888889,47.5,0.1111111111111111,3,9,0.0,0.0,1.0,0.0,1,1,0,0,4,5,0
111482,0.6,1,13.1,27.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,3,2,0
111483,0.3333333333333333,1,52.666666666666664,62.5,0.0,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,1,1,0,0,0,3,0
111496,0.6,1,11.6,27.5,0.0,2,5,0.0,1.0,0.0,0.0,2,2,0,0,4,1,0
111499,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
111507,1.0,1,37.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,3,0,0,0,2,1
111513,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,0,2,0
111523,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,1
111526,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
111527,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
