,hhnum,adltfscat,binadltfscat,fincondition,region,rural,rrindicator,targetgroup,inchhavg_r,snapnowhh,povthresh_hh,elig_units1,percent_poverty,percent_female,pr_sex,avg_age_r,pr_age_r,hispanic,mode_racecat_r,alt_pnum,prop_white,prop_black,prop_other,prop_narace,educcat,pr_educcat,ncimmigrant_any,ncimmigrant_every,nchildren,nadults,disabled
3779,115818,1,0,3,3,0,30,4,2508.4,1,1540.0,1,162.88311688311688,0.3333333333333333,1,33.333333333333336,47.5,1.0,1,3,1.0,0.0,0.0,0.0,1,2,1,0,1,2,0
3780,115827,1,0,3,2,0,20,3,8911.67,0,1940.25,0,459.3052441695658,0.5,1,27.75,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
3781,115829,1,0,2,4,0,40,3,7460.0,0,2691.5,0,277.16886494519787,0.6666666666666666,1,30.25,47.5,1.0,3,6,0.1666666666666666,0.0,0.8333333333333334,0.0,1,1,1,0,2,4,0
3782,115832,2,0,5,4,0,40,1,1050.0,0,1947.0,1,53.929121725731896,0.75,1,20.0,47.5,0.75,3,4,0.25,0.0,0.75,0.0,1,1,0,0,3,1,0
3783,115836,1,0,1,1,1,11,3,10080.0,0,1940.25,0,519.5206803247005,0.5,1,27.75,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
3784,115843,1,0,2,1,0,10,3,11353.0,0,1540.0,0,737.2077922077923,0.3333333333333333,1,29.5,47.5,0.3333333333333333,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,1,1,1,0,1,2,0
3785,115846,1,0,3,3,0,30,3,6456.66999999999,0,2414.5,0,267.4123006833709,0.4,1,30.0,27.5,0.8,3,5,0.4,0.0,0.6,0.0,1,1,0,0,1,4,0
3786,115848,2,0,2,2,0,20,4,2663.39129643673,1,2340.58333333333,1,113.79177397814225,1.0,1,47.5,47.5,0.5,3,2,0.0,0.5,0.5,0.0,2,3,0,0,0,2,0
3787,115855,1,0,1,1,1,11,3,17080.0,0,2283.33333333333,0,748.0291970802931,0.4,1,26.3,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,3,2,0
3788,115857,1,0,2,4,0,40,3,2484.338,0,1156.5,1,214.81521833117165,1.0,1,57.75,68.0,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
3789,115859,1,0,4,3,1,31,4,1372.0,1,1281.16666666667,1,107.08989202549732,0.5,1,32.75,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
3790,115871,2,0,2,2,0,20,3,4588.0,0,1156.5,0,396.71422395157805,0.5,1,62.5,62.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
3791,115872,1,0,2,4,0,40,4,1880.662,1,1540.0,1,122.1209090909091,0.6666666666666666,1,26.0,27.5,0.3333333333333333,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,1,1,0,0,1,2,0
3792,115874,1,0,1,1,0,10,3,22000.0,0,1281.16666666667,0,1717.1848575517065,0.5,1,27.5,27.5,0.0,2,2,0.0,0.5,0.5,0.0,1,1,0,0,0,2,0
3793,115875,4,1,4,3,0,30,4,1401.1492955182,1,995.416666666667,1,140.7600799181113,0.0,0,47.5,47.5,0.0,2,1,0.0,1.0,0.0,0.0,3,3,0,0,0,1,1
3794,115877,4,1,4,3,1,31,4,577.0,1,1281.16666666667,1,45.03707558215157,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,1
3795,115880,1,0,5,4,0,40,4,1498.0,1,1541.5,1,97.17807330522218,1.0,1,12.0,27.5,1.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,0
3796,115885,1,0,4,3,1,31,3,16848.0,0,2005.75,0,839.9850430013711,0.5,1,48.375,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,1,3,0
3797,115891,4,1,4,3,1,31,4,4620.0,1,2005.75,1,230.33777888570359,0.0,0,25.0,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
3798,115898,1,0,1,2,0,20,2,2300.0,0,1496.58333333333,1,153.6833899437611,0.0,0,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
3799,115901,1,0,1,2,1,21,2,2500.0,0,1541.5,0,162.1796951021732,0.6666666666666666,0,12.166666666666666,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,2,1,0
3800,115902,2,0,3,2,1,21,3,14000.0,0,2414.5,0,579.8301925864569,0.6666666666666666,1,30.5,47.5,0.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,1,2,0
3801,115905,1,0,2,4,0,40,3,11200.0,0,1281.16666666667,0,874.2032002081414,1.0,1,27.5,27.5,1.0,3,1,0.0,0.0,1.0,0.0,2,2,1,1,0,1,0
3802,115908,1,0,2,2,0,20,2,1440.0,0,917.583333333333,1,156.93397511579334,1.0,1,85.0,85.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3803,115929,1,0,2,3,1,31,3,10889.8956337,0,917.583333333333,0,1186.8018127726823,0.0,0,68.0,68.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3804,115937,1,0,3,4,0,40,4,3706.67,1,2637.25,1,140.55057351407717,0.3333333333333333,1,22.166666666666668,47.5,0.0,1,6,1.0,0.0,0.0,0.0,1,1,0,0,3,3,0
3805,115945,1,0,2,3,0,30,2,4135.0,0,2340.58333333333,0,176.66536119913155,0.8,1,25.3,47.5,0.0,1,5,1.0,0.0,0.0,0.0,2,2,0,0,2,3,0
3806,115951,1,0,3,3,0,30,4,3600.95620348544,1,1540.0,1,233.82832490165194,0.5,1,37.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
3807,115954,1,0,1,4,1,41,3,25650.0,0,1540.0,0,1665.5844155844156,0.3333333333333333,1,32.0,47.5,0.0,3,3,0.3333333333333333,0.0,0.6666666666666666,0.0,1,1,1,0,1,2,0
3808,115955,3,1,5,3,0,30,4,639.026137588694,1,995.416666666667,1,64.19684931824467,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
3809,115966,4,1,3,4,0,40,4,1156.18618000731,1,1496.58333333333,1,77.25504849984827,0.6666666666666666,1,45.833333333333336,47.5,1.0,1,3,1.0,0.0,0.0,0.0,2,2,0,0,0,3,0
3810,115972,1,0,3,1,0,10,3,4060.0,0,1281.16666666667,0,316.8986600754513,0.5,0,27.5,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
3811,115976,3,1,2,3,1,31,3,2545.0,0,1156.5,0,220.06052745352358,0.5,1,73.75,85.0,0.0,2,2,0.0,1.0,0.0,0.0,1,1,0,0,0,2,0
3812,115978,1,0,3,1,0,10,3,2100.0,0,995.416666666667,0,210.96693177061528,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3813,115981,2,0,3,4,0,40,3,4620.0,0,2340.58333333333,0,197.38669135187126,0.2,1,23.8,47.5,0.0,1,5,0.8,0.0,0.2,0.0,1,3,0,0,2,3,0
3814,115986,4,1,4,3,1,31,1,854.218716079034,0,1318.75,1,64.77487894438173,0.0,0,32.0,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
3815,115987,3,1,5,2,1,21,4,245.572728818952,1,917.583333333333,1,26.762989245549225,1.0,1,85.0,85.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3816,115988,1,0,1,3,0,30,3,13200.0,0,2283.33333333333,0,578.1021897810228,0.6,1,16.0,27.5,0.6,3,5,0.2,0.0,0.8,0.0,1,1,0,0,3,2,0
3817,115992,3,1,4,2,0,20,1,650.0,0,917.583333333333,1,70.83825265643449,1.0,1,85.0,85.0,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
3818,115994,1,0,1,3,1,31,2,2556.67,0,1540.0,0,166.01753246753248,1.0,1,14.75,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
3819,115999,2,0,3,3,0,30,3,3080.0,0,1540.0,1,200.0,0.6666666666666666,0,19.33333333333333,27.5,0.3333333333333333,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,1,2,0,0,1,2,0
3820,116006,1,0,2,2,1,21,3,4000.0,0,917.583333333333,0,435.9277086549815,0.0,0,68.0,68.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3821,116009,3,1,3,4,1,41,3,5100.0,0,1940.25,0,262.85272516428296,0.75,1,15.0,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,2,0,0,2,2,0
3822,116011,3,1,2,1,0,10,2,2400.0,0,1940.25,1,123.69540007730961,0.5,1,28.5,47.5,0.0,3,4,0.0,0.0,1.0,0.0,1,1,0,0,2,2,0
3823,116015,4,1,4,4,0,40,2,2500.0,0,1496.58333333333,1,167.04716298234905,0.3333333333333333,0,45.833333333333336,27.5,0.0,3,3,0.0,0.0,1.0,0.0,1,1,1,1,0,3,0
3824,116016,3,1,2,3,0,30,4,467.691910994323,1,2414.5,1,19.37013505878331,0.8,1,31.6,47.5,1.0,3,5,0.0,0.0,1.0,0.0,2,3,1,0,1,4,1
3825,116017,1,0,3,2,0,20,4,971.0,1,917.583333333333,1,105.82145127599676,0.0,0,68.0,68.0,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
3826,116021,1,0,3,3,0,30,2,1625.0,0,917.583333333333,1,177.09563164108624,1.0,1,85.0,85.0,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3827,116038,1,0,3,1,0,10,3,5334.33,0,1496.58333333333,0,356.43387716465355,0.6666666666666666,1,38.0,47.5,0.0,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2,0,0,0,3,0
3828,116042,3,1,4,1,0,10,3,9156.0,0,1156.5,0,791.6990920881972,0.5,0,57.75,47.5,0.0,3,2,0.5,0.0,0.5,0.0,1,1,0,0,0,2,0
3829,116048,3,1,4,2,1,21,4,3500.0,1,3148.08333333333,1,111.17875956269701,0.625,1,12.75,27.5,0.0,1,8,1.0,0.0,0.0,0.0,1,1,0,0,6,2,0
